duration,totalDistance,totalEnergyBurned,vo2max,hr_min,hr_max,hr_q50,hr_q90,hr_q95,hr_q99,whr_min,whr_max,rhr_min,rhr_max,hrv_min,hrv_max,hrv_q50,hrv_q90,hrv_q95,hrv_q99
28.67046637,3.688318535,410.9032105,42.5437,47.0,199.0,63.0,142.0,161.39999999999986,196.96999999999997,,,49.0,49.0,115.954,124.026,119.775,123.7422,123.8841,123.99762
17.75870905,1.06724497,110.8528221,42.5437,45.0,143.0,73.0,96.60000000000014,125.0,134.0,105.0,105.0,47.0,47.0,56.3213,217.554,62.21015,172.38444,194.96921999999995,213.03704399999995
17.75870905,1.06724497,110.8528221,42.5437,45.0,143.0,73.0,96.60000000000014,125.0,134.0,105.0,105.0,47.0,47.0,56.3213,217.554,62.21015,172.38444,194.96921999999995,213.03704399999995
19.63010332,1.084310276,109.1149564,42.5182,45.0,107.0,63.0,95.80000000000001,100.39999999999998,106.0,,,,,86.697,127.595,109.393,123.9546,125.7748,127.23096
19.63010332,1.084310276,109.1149564,42.5063,45.0,107.0,63.0,95.80000000000001,100.39999999999998,106.0,,,,,86.697,127.595,109.393,123.9546,125.7748,127.23096
16.91448838,1.078722928,97.70788221,42.4749,55.0,131.0,75.0,112.4,117.0,123.44,112.0,116.0,48.0,58.0,30.9773,128.183,43.3932,111.22504,119.70401999999999,126.48720399999999
16.91448838,1.078722928,97.70788221,42.0148,55.0,131.0,75.0,112.4,117.0,123.44,112.0,116.0,48.0,58.0,30.9773,128.183,43.3932,111.22504,119.70401999999999,126.48720399999999
16.7909951,0.945163112,91.47975581,42.4729,45.0,141.0,64.0,99.30000000000001,107.0,130.13,105.0,105.0,47.0,47.0,58.7936,68.4306,63.6121,67.4669,67.94874999999999,68.33422999999999
21.42001875,1.102142497,100.3316446,43.3729,51.0,119.0,70.0,99.80000000000001,108.89999999999998,115.0,102.0,102.0,53.0,53.0,115.317,115.317,115.317,115.317,115.317,115.317
35.25714595,1.104978407,105.0061523,43.3316,47.0,113.0,67.0,95.10000000000002,99.05000000000001,105.22000000000003,99.0,99.0,48.0,48.0,78.7433,99.8674,79.9238,95.87868,97.87304,99.468528
35.25714595,1.104978407,105.0061523,43.483,47.0,113.0,67.0,95.10000000000002,99.05000000000001,105.22000000000003,99.0,99.0,48.0,48.0,78.7433,99.8674,79.9238,95.87868,97.87304,99.468528
35.25714595,1.104978407,105.0061523,43.4479,47.0,113.0,67.0,95.10000000000002,99.05000000000001,105.22000000000003,99.0,99.0,48.0,48.0,78.7433,99.8674,79.9238,95.87868,97.87304,99.468528
21.27997175,1.089256568,96.71670037,42.8422,54.0,138.0,76.0,97.80000000000001,105.0,108.27999999999997,106.5,106.5,56.0,56.0,66.5094,122.546,94.52770000000001,116.94234,119.74417,121.985634
11.38964358,0.550324733,52.78127212,43.0017,44.0,113.0,68.0,91.1,96.0,102.43,98.0,98.0,47.0,47.0,62.7495,102.965,82.4168,102.2573,102.61115,102.89423000000001
22.7789854,0.930826375,85.11205851,42.7313,44.0,114.0,60.0,92.0,100.64999999999998,110.86000000000001,96.0,96.0,,,44.2097,97.6646,76.61265,93.63689,95.65074499999999,97.26182899999999
28.48607189,1.074848759,104.4136921,43.1885,51.0,98.0,65.0,85.10000000000002,88.0,95.62,,,,,52.3235,88.0916,70.20755,84.51479,86.30319499999999,87.733919
18.5996804,1.084878138,103.9356865,42.9928,43.0,128.0,73.0,106.0,111.0,120.79000000000002,113.0,113.0,46.0,46.0,60.2858,158.194,103.6395,147.0217,152.60784999999998,157.07676999999998
18.5996804,1.084878138,103.9356865,42.9928,43.0,128.0,73.0,106.0,111.0,120.79000000000002,113.0,113.0,46.0,46.0,60.2858,158.194,103.6395,147.0217,152.60784999999998,157.07676999999998
18.5996804,1.084878138,103.9356865,43.3974,43.0,128.0,73.0,106.0,111.0,120.79000000000002,113.0,113.0,46.0,46.0,60.2858,158.194,103.6395,147.0217,152.60784999999998,157.07676999999998
17.24395827,1.007279669,96.60953171,42.5976,47.0,120.0,66.0,103.69999999999999,110.0,119.0,113.0,113.0,49.0,49.0,44.6619,110.256,63.51205,101.28852,105.77225999999999,109.35925199999998
17.24395827,1.007279669,96.60953171,43.0708,47.0,120.0,66.0,103.69999999999999,110.0,119.0,113.0,113.0,49.0,49.0,44.6619,110.256,63.51205,101.28852,105.77225999999999,109.35925199999998
39.84420265,1.488666225,141.4385297,43.2433,50.0,118.0,61.0,89.0,99.0,117.30000000000001,91.0,91.0,48.0,53.0,65.7533,83.3029,74.5281,81.54794,82.42541999999999,83.127404
23.74460048,3.131614629,361.051086,42.3336,46.0,199.0,74.0,145.0,156.0,192.35000000000002,115.0,115.0,48.0,50.0,35.4551,154.124,85.4442,140.4865,147.30525,152.76025
23.74460048,3.131614629,361.051086,41.9826,46.0,199.0,74.0,145.0,156.0,192.35000000000002,115.0,115.0,48.0,50.0,35.4551,154.124,85.4442,140.4865,147.30525,152.76025
23.74460048,3.131614629,361.051086,43.208,46.0,199.0,74.0,145.0,156.0,192.35000000000002,115.0,115.0,48.0,50.0,35.4551,154.124,85.4442,140.4865,147.30525,152.76025
20.80584715,1.09604498,94.30959325,43.2198,49.0,108.0,66.0,96.0,102.0,104.91000000000003,108.0,108.0,,,37.4667,119.743,61.3952,96.57796,108.16047999999999,117.426496
21.68537023,1.314977003,130.3537671,43.2198,44.0,177.0,77.0,132.0,143.25,167.34999999999997,111.0,111.0,47.0,47.0,45.5909,95.9323,83.6981,93.48545999999999,94.70888,95.687616
21.68537023,1.314977003,130.3537671,43.0706,44.0,177.0,77.0,132.0,143.25,167.34999999999997,111.0,111.0,47.0,47.0,45.5909,95.9323,83.6981,93.48545999999999,94.70888,95.687616
22.1149931,1.119267557,112.4918844,42.5924,50.0,117.0,75.0,106.9,113.0,117.0,115.0,115.0,58.0,58.0,52.5916,75.6009,64.3127,73.34326,74.47208,75.375136
22.1149931,1.119267557,112.4918844,42.6206,50.0,117.0,75.0,106.9,113.0,117.0,115.0,115.0,58.0,58.0,52.5916,75.6009,64.3127,73.34326,74.47208,75.375136
22.2268845,1.093054399,97.45652627,42.2649,45.0,150.0,65.0,114.69999999999999,133.0,147.14,109.0,109.0,47.0,47.0,68.4078,95.9394,83.8063,93.51278,94.72609000000001,95.696738
22.2268845,1.093054399,97.45652627,41.9914,45.0,150.0,65.0,114.69999999999999,133.0,147.14,109.0,109.0,47.0,47.0,68.4078,95.9394,83.8063,93.51278,94.72609000000001,95.696738
16.4415059,1.065089311,101.190695,42.075,44.0,119.0,62.5,95.5,105.5,115.94999999999993,104.0,104.0,46.0,46.0,55.0057,55.0057,55.0057,55.0057,55.0057,55.0057
16.4415059,1.065089311,101.190695,42.0774,44.0,119.0,62.5,95.5,105.5,115.94999999999993,104.0,104.0,46.0,46.0,55.0057,55.0057,55.0057,55.0057,55.0057,55.0057
19.27495157,1.009623098,100.5633892,42.0594,46.0,120.0,71.0,96.0,106.34999999999997,116.80999999999995,106.0,106.0,47.0,47.0,74.8106,118.7,92.1324,113.38648,116.04324000000001,118.168648
11.90362907,1.005276617,120.8254007,39.3482,47.0,155.0,66.0,85.0,93.0,147.04999999999995,,,48.0,48.0,72.0208,130.956,102.256,125.216,128.08599999999998,130.38199999999998
17.02696977,1.056289628,92.641,39.707,48.0,118.0,64.0,93.0,103.89999999999998,114.0,104.0,104.0,,,51.3164,132.426,62.8893,120.72319999999999,126.57459999999999,131.25571999999997
17.02696977,1.056289628,92.641,40.0943,48.0,118.0,64.0,93.0,103.89999999999998,114.0,104.0,104.0,,,51.3164,132.426,62.8893,120.72319999999999,126.57459999999999,131.25571999999997
17.75519904,1.037412468,101.9730358,40.2626,50.0,120.0,62.0,104.0,109.0,114.0,111.0,111.0,52.0,52.0,42.9913,84.5473,71.13725,83.89330000000001,84.22030000000001,84.48190000000001
17.75519904,1.037412468,101.9730358,40.3521,50.0,120.0,62.0,104.0,109.0,114.0,111.0,111.0,52.0,52.0,42.9913,84.5473,71.13725,83.89330000000001,84.22030000000001,84.48190000000001
20.30640953,1.0828703,97.9048418,40.5575,44.0,120.0,59.0,95.0,108.0,116.20999999999998,106.0,106.0,47.0,47.0,65.0442,97.3614,81.16855,96.8894,97.1254,97.3142
20.30640953,1.0828703,97.9048418,40.7464,44.0,120.0,59.0,95.0,108.0,116.20999999999998,106.0,106.0,47.0,47.0,65.0442,97.3614,81.16855,96.8894,97.1254,97.3142
23.0513581,1.14446154,107.5747884,40.5019,43.0,131.0,70.0,103.30000000000001,107.64999999999998,113.46000000000004,,,,,69.0353,125.785,82.09955,115.27978,120.53238999999999,124.734478
23.0513581,1.14446154,107.5747884,40.7279,43.0,131.0,70.0,103.30000000000001,107.64999999999998,113.46000000000004,,,,,69.0353,125.785,82.09955,115.27978,120.53238999999999,124.734478
20.11148223,1.140438907,96.46745577,41.1472,44.0,128.0,61.0,92.0,112.0,121.36000000000001,,,,,57.2036,108.403,58.287,98.3798,103.3914,107.40068000000001
24.22233067,1.092637069,113.1665266,44.1283,45.0,112.0,64.0,83.90000000000003,97.89999999999998,108.0,104.0,104.0,47.0,47.0,69.7513,141.168,105.45965000000001,134.02633,137.597165,140.453833
24.22233067,1.092637069,113.1665266,43.5074,45.0,112.0,64.0,83.90000000000003,97.89999999999998,108.0,104.0,104.0,47.0,47.0,69.7513,141.168,105.45965000000001,134.02633,137.597165,140.453833
20.94115647,1.099591877,93.7079034,43.5074,45.0,146.0,65.0,116.19999999999999,127.0,137.09999999999985,113.0,113.0,48.0,48.0,43.7514,112.11,61.31615,97.4514,104.7807,110.64414
20.94115647,1.099591877,93.7079034,43.5074,45.0,146.0,65.0,116.19999999999999,127.0,137.09999999999985,113.0,113.0,48.0,48.0,43.7514,112.11,61.31615,97.4514,104.7807,110.64414
22.61431632,1.071478058,94.58115421,43.1164,47.0,139.0,70.0,101.0,108.0,125.52999999999997,,,,,44.2564,99.3504,52.46995,87.71418000000001,93.53228999999997,98.18677799999999
22.61431632,1.071478058,94.58115421,43.0773,47.0,139.0,70.0,101.0,108.0,125.52999999999997,,,,,44.2564,99.3504,52.46995,87.71418000000001,93.53228999999997,98.18677799999999
65.59520183,4.08127112,376.4930815,43.8376,47.0,164.0,69.0,124.0,131.8,163.51999999999998,121.0,121.0,50.0,50.0,22.0688,125.051,83.9732,116.83544,120.94322,124.229444
17.62629178,1.072087744,90.88270372,44.1895,49.0,128.0,67.0,100.39999999999998,111.0,122.24000000000001,107.5,107.5,51.0,51.0,51.5558,97.3197,66.6197,91.6189,94.46929999999999,96.74962
17.62629178,1.072087744,90.88270372,44.1895,49.0,128.0,67.0,100.39999999999998,111.0,122.24000000000001,107.5,107.5,51.0,51.0,51.5558,97.3197,66.6197,91.6189,94.46929999999999,96.74962
36.13461143,1.43763216,135.0227198,44.1178,48.0,110.0,67.0,94.0,104.0,108.41999999999996,,,,,62.0584,136.827,84.9735,133.8342,135.3306,136.52772
36.13461143,1.43763216,135.0227198,43.9616,48.0,110.0,67.0,94.0,104.0,108.41999999999996,,,,,62.0584,136.827,84.9735,133.8342,135.3306,136.52772
22.50941083,1.103492191,109.2639238,43.4742,47.0,122.0,72.0,103.20000000000002,108.6,119.32,92.0,106.0,49.0,50.0,56.5995,94.3941,92.6485,94.04498,94.21954,94.35918799999999
22.50941083,1.103492191,109.2639238,43.0012,47.0,122.0,72.0,103.20000000000002,108.6,119.32,92.0,106.0,49.0,50.0,56.5995,94.3941,92.6485,94.04498,94.21954,94.35918799999999
27.8315993,1.107258998,102.649532,42.7971,45.0,150.0,73.0,101.0,119.60000000000002,145.91999999999996,110.0,110.0,47.0,47.0,29.2927,115.19,54.2172,99.81708,107.50353999999999,113.65270799999999
